,index,DATEPRD,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
6494,7335,2014-10-31,15/9-F-14,24.0,261.22207170212766,99.6292,230.30521638297873,97.91666666666667,30.916855319148937,87.28312595744681,2.2372517021276597,321.89,49962.94,3196.52
6495,7336,2014-11-01,15/9-F-14,24.0,261.20466666666664,99.6292,230.284710625,100.0,30.919956041666666,86.91397520833333,2.2231889583333335,326.63,50612.25,3244.49
6496,7337,2014-11-02,15/9-F-14,24.0,261.202799787234,99.6292,230.28996638297872,97.91666666666667,30.91283340425532,86.62662,2.207252765957447,324.42,50256.18,3234.51
6497,7338,2014-11-03,15/9-F-14,24.0,261.2352468085106,99.62135382978724,230.32949872340424,100.0,30.90574808510638,87.45525531914893,2.19286787677305,340.8,52747.21,3400.27
6498,7339,2014-11-04,15/9-F-14,24.0,261.27200125,99.61776,230.28117875,100.0,30.9908225,88.27019916666667,2.2720754166666666,335.94,52115.36,3420.74
6499,7340,2014-11-05,15/9-F-14,24.0,261.29215708333334,99.61776,230.30816104166666,100.0,30.983996041666668,88.40191020833333,2.2796527083333333,331.12,51497.81,3420.5
6500,7341,2014-11-06,15/9-F-14,24.0,261.3210927083333,99.612581875,230.43903166666666,100.0,30.882061041666667,86.72609270833334,2.180811875,331.3,51498.85,3418.52
6501,7342,2014-11-07,15/9-F-14,24.0,261.12686145833334,99.61192041666666,230.42838916666668,100.0,30.69847229166667,84.9612625,2.1724858333333334,339.2,52350.96,3410.55
6502,7343,2014-11-08,15/9-F-14,24.0,259.119321875,99.64107270833334,230.0200625,100.0,29.099259375,86.966325625,2.349610833333333,338.53,52879.08,3619.14
6503,7344,2014-11-09,15/9-F-14,24.0,258.69358604166666,99.64092333333333,230.02769916666668,100.0,28.665886875,87.22569625,2.3498385416666667,335.86,52868.38,3664.15
6504,7345,2014-11-10,15/9-F-14,24.0,258.91392340425534,99.63634893617021,230.06083276595746,100.0,28.85309063829787,88.10469270833333,2.386711914893617,349.09,56794.2,3879.21
6505,7346,2014-11-11,15/9-F-14,24.0,258.751623125,99.63836,230.10581833333333,100.0,28.645804791666666,86.73265770833333,2.380491875,363.01,57466.09,3968.82
6506,7347,2014-11-12,15/9-F-14,24.0,258.81819291666665,99.63738020833334,230.17850145833333,100.0,28.639691458333335,84.82598416666667,2.366433333333333,364.46,57045.82,3811.93
6507,7348,2014-11-13,15/9-F-14,24.0,258.98688541666667,99.62931875,230.29279791666667,100.0,28.6940875,85.8497975,2.41114625,359.37,56408.19,3742.45
6508,7349,2014-11-14,15/9-F-14,24.0,258.938121875,99.62882416666666,230.27896958333332,100.0,28.65915229166667,84.94191125,2.38653,358.97,56225.16,3742.95
6509,7350,2014-11-15,15/9-F-14,24.0,258.96281833333336,99.62573916666666,230.30533354166667,100.0,28.65748479166667,85.52874666666666,2.382036041666667,362.59,56635.46,3729.43
